,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{1: [0], 2: [1]}",2,"[(8, 5), (9, 7)]","[[[1, 4], [5, 1]], [[3, 4], [5, 3]]]"
1,"{1: [0], 2: [0, 1]}",2,"[(5, 7, 6), (8, 9, 6)]","[[[5, 1], [5, 3], [1, 3]], [[1, 4], [3, 4], [1, 3]]]"
2,"{0: [1], 1: [0, 2], 2: [0, 1]}",2,"[(0, 3, 4, 12, 5), (2, 8, 10, 0, 4)]","[[[1, 2], [5, 2], [2, 1], [2, 5], [5, 1]], [[4, 2], [1, 4], [2, 4], [1, 2], [2, 1]]]"
3,"{0: [1], 1: [2], 2: [0, 1]}",2,"[(0, 1, 4, 6), (1, 3, 12, 7)]","[[[1, 2], [3, 2], [2, 1], [1, 3]], [[3, 2], [5, 2], [2, 5], [5, 3]]]"
4,"{0: [2], 1: [2], 2: [0, 1]}",1,"[(2, 10, 3, 12)]","[[[4, 2], [2, 4], [5, 2], [2, 5]]]"
5,"{0: [1], 1: [0], 2: [0, 1]}",1,"[(2, 9, 10, 1)]","[[[4, 2], [3, 4], [2, 4], [3, 2]]]"
