,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{1: [2], 2: [0, 1]}",2,"[(5, 8, 11, 13), (3, 10, 12, 13)]","[[[5, 1], [1, 4], [1, 5], [5, 5]], [[5, 2], [2, 4], [2, 5], [5, 5]]]"
1,"{1: [0, 2], 2: [0, 1]}",2,"[(5, 6, 7, 11, 13), (0, 4, 8, 10)]","[[[5, 1], [1, 3], [5, 3], [1, 5], [5, 5]], [[1, 2], [2, 1], [1, 4], [2, 4]]]"
2,"{0: [1, 2], 1: [0, 2], 2: [0, 1]}",1,"[(0, 3, 4, 5, 11, 12, 13)]","[[[1, 2], [5, 2], [2, 1], [5, 1], [1, 5], [2, 5], [5, 5]]]"
3,"{1: [0], 2: [0, 1]}",2,"[(6, 8, 9), (1, 9, 10)]","[[[1, 3], [1, 4], [3, 4]], [[3, 2], [3, 4], [2, 4]]]"
4,"{0: [1], 1: [2], 2: [0, 1]}",2,"[(0, 1, 4, 6), (1, 3, 7, 12, 13)]","[[[1, 2], [3, 2], [2, 1], [1, 3]], [[3, 2], [5, 2], [5, 3], [2, 5], [5, 5]]]"
5,"{1: [0], 2: [1]}",1,"[(7, 9, 13)]","[[[5, 3], [3, 4], [5, 5]]]"
