,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{0: [1], 1: [0], 2: [0]}",3,"[(36, 37, 38), (34, 36, 38), (35, 36, 38)]","[[[17, 26], [1, 17], [26, 17]], [[12, 26], [17, 26], [26, 17]], [[25, 26], [17, 26], [26, 17]]]"
1,"{1: [0], 2: [1]}",57,"[(37, 40), (13, 37), (8, 37), (8, 28), (8, 29), (0, 8), (0, 39), (5, 39), (39, 42), (1, 39), (1, 12), (1, 10), (1, 9), (1, 11), (18, 32), (10, 18), (9, 18), (11, 18), (12, 43), (12, 44), (10, 25), (10, 26), (9, 15), (9, 14), (7, 11), (26, 41), (17, 26), (16, 29), (2, 16), (5, 17), (2, 17), (25, 41), (25, 28), (4, 25), (3, 25), (4, 42), (3, 13), (13, 30), (40, 42), (5, 40), (5, 23), (23, 33), (22, 33), (20, 32), (19, 32), (29, 34), (27, 29), (22, 29), (7, 29), (28, 34), (27, 28), (22, 28), (7, 28), (15, 21), (19, 43), (19, 44), (20, 21)]","[[[1, 17], [17, 8]], [[17, 6], [1, 17]], [[12, 1], [1, 17]], [[12, 1], [15, 12]], [[12, 1], [11, 12]], [[1, 2], [12, 1]], [[1, 2], [2, 8]], [[8, 9], [2, 8]], [[2, 8], [8, 7]], [[3, 2], [2, 8]], [[3, 2], [16, 3]], [[3, 2], [15, 3]], [[3, 2], [14, 3]], [[3, 2], [13, 3]], [[3, 20], [20, 10]], [[15, 3], [3, 20]], [[14, 3], [3, 20]], [[13, 3], [3, 20]], [[16, 3], [28, 16]], [[16, 3], [18, 16]], [[15, 3], [5, 15]], [[15, 3], [4, 15]], [[14, 3], [19, 14]], [[14, 3], [18, 14]], [[12, 13], [13, 3]], [[4, 15], [15, 27]], [[9, 4], [4, 15]], [[12, 4], [11, 12]], [[4, 5], [12, 4]], [[8, 9], [9, 4]], [[4, 5], [9, 4]], [[5, 15], [15, 27]], [[5, 15], [15, 12]], [[7, 5], [5, 15]], [[6, 5], [5, 15]], [[7, 5], [8, 7]], [[6, 5], [17, 6]], [[17, 6], [6, 24]], [[17, 8], [8, 7]], [[8, 9], [17, 8]], [[8, 9], [9, 22]], [[9, 22], [22, 10]], [[12, 22], [22, 10]], [[19, 20], [20, 10]], [[16, 20], [20, 10]], [[11, 12], [12, 26]], [[12, 23], [11, 12]], [[12, 22], [11, 12]], [[12, 13], [11, 12]], [[15, 12], [12, 26]], [[12, 23], [15, 12]], [[12, 22], [15, 12]], [[12, 13], [15, 12]], [[19, 14], [21, 19]], [[16, 20], [28, 16]], [[16, 20], [18, 16]], [[19, 20], [21, 19]]]"
2,"{2: [0, 1]}",26,"[(0, 37), (8, 34), (8, 27), (8, 22), (7, 8), (8, 16), (1, 18), (10, 41), (10, 28), (16, 34), (16, 27), (16, 22), (7, 16), (17, 23), (3, 30), (13, 40), (5, 42), (27, 34), (22, 34), (7, 34), (22, 27), (7, 27), (7, 22), (28, 41), (15, 20), (14, 44)]","[[[1, 2], [1, 17]], [[12, 1], [12, 26]], [[12, 1], [12, 23]], [[12, 1], [12, 22]], [[12, 13], [12, 1]], [[12, 1], [12, 4]], [[3, 2], [3, 20]], [[15, 3], [15, 27]], [[15, 3], [15, 12]], [[12, 4], [12, 26]], [[12, 4], [12, 23]], [[12, 4], [12, 22]], [[12, 13], [12, 4]], [[9, 4], [9, 22]], [[6, 5], [6, 24]], [[17, 6], [17, 8]], [[8, 9], [8, 7]], [[12, 23], [12, 26]], [[12, 22], [12, 26]], [[12, 13], [12, 26]], [[12, 22], [12, 23]], [[12, 13], [12, 23]], [[12, 13], [12, 22]], [[15, 12], [15, 27]], [[19, 14], [19, 20]], [[18, 14], [18, 16]]]"
3,"{1: [0], 2: [0]}",20,"[(0, 1), (39, 40), (18, 20), (10, 12), (9, 12), (11, 12), (9, 10), (10, 11), (9, 11), (16, 17), (2, 4), (2, 3), (3, 4), (22, 23), (32, 33), (28, 29), (34, 35), (14, 15), (43, 44), (19, 20)]","[[[1, 2], [3, 2]], [[2, 8], [17, 8]], [[3, 20], [19, 20]], [[15, 3], [16, 3]], [[14, 3], [16, 3]], [[13, 3], [16, 3]], [[14, 3], [15, 3]], [[15, 3], [13, 3]], [[14, 3], [13, 3]], [[12, 4], [9, 4]], [[4, 5], [7, 5]], [[4, 5], [6, 5]], [[6, 5], [7, 5]], [[12, 22], [9, 22]], [[20, 10], [22, 10]], [[15, 12], [11, 12]], [[12, 26], [25, 26]], [[18, 14], [19, 14]], [[28, 16], [18, 16]], [[16, 20], [19, 20]]]"
4,"{1: [0], 2: [0, 1]}",2,"[(12, 18, 19), (2, 25, 26)]","[[[16, 3], [3, 20], [16, 20]], [[4, 5], [5, 15], [4, 15]]]"
5,"{0: [1], 1: [2], 2: [0]}",1,"[(16, 26, 28)]","[[[12, 4], [4, 15], [15, 12]]]"
6,"{1: [2], 2: [0, 1]}",2,"[(13, 36, 38), (36, 38, 40)]","[[[17, 6], [17, 26], [26, 17]], [[17, 26], [26, 17], [17, 8]]]"
