,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{1: [0], 2: [0]}",1,"[(6, 7)]","[[[1, 3], [5, 3]]]"
1,"{0: [1], 1: [0, 2], 2: [0, 1]}",1,"[(2, 8, 10, 0, 4)]","[[[4, 2], [1, 4], [2, 4], [1, 2], [2, 1]]]"
2,"{0: [2], 1: [2], 2: [0, 1]}",2,"[(0, 3, 4, 12), (2, 10, 3, 12)]","[[[1, 2], [5, 2], [2, 1], [2, 5]], [[4, 2], [2, 4], [5, 2], [2, 5]]]"
3,"{0: [1], 1: [0], 2: [0]}",0,[],[]
4,"{0: [1], 1: [0], 2: [0, 1]}",1,"[(2, 9, 10, 1)]","[[[4, 2], [3, 4], [2, 4], [3, 2]]]"
5,"{1: [0], 2: [0, 1]}",1,"[(6, 8, 9)]","[[[1, 3], [1, 4], [3, 4]]]"
6,"{0: [1], 1: [2], 2: [0, 1]}",2,"[(0, 1, 4, 6), (1, 3, 7, 12)]","[[[1, 2], [3, 2], [2, 1], [1, 3]], [[3, 2], [5, 2], [5, 3], [2, 5]]]"
7,"{1: [0], 2: [1]}",1,"[(7, 9)]","[[[5, 3], [3, 4]]]"
