,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{1: [0], 2: [1]}",35,"[(24, 34), (21, 24), (7, 24), (16, 32), (7, 16), (11, 26), (7, 26), (8, 22), (7, 22), (7, 29), (0, 7), (2, 9), (0, 33), (0, 14), (0, 20), (1, 33), (17, 28), (1, 14), (1, 20), (1, 6), (1, 30), (27, 30), (23, 30), (17, 27), (11, 27), (8, 23), (5, 9), (3, 9), (5, 29), (4, 34), (3, 21), (18, 34), (10, 34), (18, 32), (17, 32)]","[[[1, 13], [13, 6]], [[13, 5], [1, 13]], [[7, 1], [1, 13]], [[1, 11], [11, 12]], [[7, 1], [1, 11]], [[10, 9], [1, 10]], [[7, 1], [1, 10]], [[8, 9], [1, 8]], [[7, 1], [1, 8]], [[7, 1], [14, 7]], [[1, 2], [7, 1]], [[1, 4], [4, 9]], [[1, 2], [2, 12]], [[1, 2], [2, 9]], [[1, 2], [2, 5]], [[3, 2], [2, 12]], [[10, 11], [2, 10]], [[3, 2], [2, 9]], [[3, 2], [2, 5]], [[3, 2], [2, 4]], [[3, 2], [15, 3]], [[3, 10], [15, 3]], [[3, 8], [15, 3]], [[10, 11], [3, 10]], [[10, 9], [3, 10]], [[8, 9], [3, 8]], [[7, 4], [4, 9]], [[5, 4], [4, 9]], [[7, 4], [14, 7]], [[6, 4], [13, 6]], [[5, 4], [13, 5]], [[6, 11], [13, 6]], [[6, 9], [13, 6]], [[6, 11], [11, 12]], [[10, 11], [11, 12]]]"
1,"{2: [0, 1]}",23,"[(16, 24), (24, 26), (22, 24), (2, 24), (0, 24), (16, 22), (2, 16), (0, 16), (22, 26), (2, 26), (2, 22), (0, 22), (28, 33), (20, 33), (6, 33), (20, 28), (6, 28), (14, 20), (1, 23), (23, 27), (4, 18), (18, 19), (10, 19)]","[[[1, 11], [1, 13]], [[1, 13], [1, 10]], [[1, 8], [1, 13]], [[1, 4], [1, 13]], [[1, 2], [1, 13]], [[1, 11], [1, 8]], [[1, 4], [1, 11]], [[1, 2], [1, 11]], [[1, 8], [1, 10]], [[1, 4], [1, 10]], [[1, 4], [1, 8]], [[1, 2], [1, 8]], [[2, 10], [2, 12]], [[2, 5], [2, 12]], [[2, 4], [2, 12]], [[2, 5], [2, 10]], [[2, 4], [2, 10]], [[2, 9], [2, 5]], [[3, 2], [3, 8]], [[3, 8], [3, 10]], [[6, 4], [6, 11]], [[6, 11], [6, 5]], [[6, 9], [6, 5]]]"
2,"{0: [1], 1: [0], 2: [0]}",8,"[(12, 15, 16), (12, 14, 15), (9, 13, 31), (9, 12, 15), (10, 13, 31), (8, 13, 31), (8, 12, 15), (11, 13, 31)]","[[[11, 9], [9, 11], [1, 11]], [[11, 9], [2, 9], [9, 11]], [[4, 9], [12, 9], [9, 12]], [[4, 9], [11, 9], [9, 11]], [[6, 9], [12, 9], [9, 12]], [[8, 9], [12, 9], [9, 12]], [[8, 9], [11, 9], [9, 11]], [[10, 9], [12, 9], [9, 12]]]"
3,"{1: [0], 2: [0]}",21,"[(16, 18), (26, 27), (22, 23), (2, 4), (2, 3), (0, 1), (32, 33), (8, 14), (10, 14), (20, 21), (19, 20), (5, 6), (4, 6), (9, 11), (8, 9), (4, 5), (3, 5), (17, 18), (10, 11), (8, 10), (8, 11)]","[[[1, 11], [6, 11]], [[1, 10], [3, 10]], [[1, 8], [3, 8]], [[1, 4], [6, 4]], [[1, 4], [5, 4]], [[1, 2], [3, 2]], [[11, 12], [2, 12]], [[8, 9], [2, 9]], [[6, 9], [2, 9]], [[2, 5], [13, 5]], [[6, 5], [2, 5]], [[7, 4], [2, 4]], [[6, 4], [2, 4]], [[4, 9], [10, 9]], [[8, 9], [4, 9]], [[6, 4], [7, 4]], [[5, 4], [7, 4]], [[10, 11], [6, 11]], [[6, 9], [10, 9]], [[8, 9], [6, 9]], [[8, 9], [10, 9]]]"
4,"{1: [0], 2: [0, 1]}",11,"[(16, 17, 26), (0, 26, 28), (2, 5, 7), (0, 2, 6), (11, 14, 28), (1, 27, 28), (6, 9, 14), (3, 6, 20), (4, 9, 10), (3, 4, 19), (19, 21, 34)]","[[[1, 11], [10, 11], [1, 10]], [[1, 2], [1, 10], [2, 10]], [[1, 4], [7, 4], [7, 1]], [[1, 2], [1, 4], [2, 4]], [[10, 9], [2, 9], [2, 10]], [[3, 2], [3, 10], [2, 10]], [[2, 4], [4, 9], [2, 9]], [[5, 4], [2, 4], [2, 5]], [[6, 4], [4, 9], [6, 9]], [[5, 4], [6, 4], [6, 5]], [[6, 5], [13, 5], [13, 6]]]"
5,"{0: [1], 1: [0], 2: [0, 1]}",3,"[(13, 14, 31, 33), (10, 12, 15, 18), (11, 12, 15, 17)]","[[[12, 9], [2, 9], [9, 12], [2, 12]], [[6, 9], [11, 9], [9, 11], [6, 11]], [[10, 9], [11, 9], [9, 11], [10, 11]]]"
6,"{0: [1], 1: [0, 2], 2: [0, 1]}",1,"[(12, 13, 15, 31, 32)]","[[[11, 9], [12, 9], [9, 11], [9, 12], [11, 12]]]"
