,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{1: [0], 2: [1]}",63,"[(91, 95), (68, 94), (53, 79), (49, 88), (35, 64), (29, 89), (29, 39), (28, 42), (23, 25), (12, 92), (12, 33), (6, 62), (5, 32), (1, 61), (0, 27), (27, 59), (2, 50), (50, 93), (16, 77), (4, 16), (9, 52), (7, 31), (7, 30), (30, 87), (10, 31), (31, 51), (30, 36), (10, 30), (30, 51), (10, 98), (34, 51), (28, 59), (24, 59), (25, 59), (34, 48), (34, 52), (11, 98), (36, 97), (20, 41), (66, 77), (66, 78), (81, 96), (14, 96), (76, 85), (15, 63), (22, 63), (17, 99), (21, 43), (19, 35), (18, 74), (74, 75), (43, 44), (72, 73), (65, 75), (39, 60), (37, 94), (37, 93), (38, 69), (40, 60), (40, 80), (40, 79), (44, 45), (54, 55)]","[[[72, 59], [1, 72]], [[1, 61], [61, 40]], [[1, 54], [54, 44]], [[1, 52], [52, 59]], [[39, 26], [1, 39]], [[1, 34], [34, 59]], [[1, 34], [34, 43]], [[33, 13], [1, 33]], [[1, 31], [31, 13]], [[1, 17], [17, 59]], [[1, 17], [17, 37]], [[10, 11], [1, 10]], [[1, 9], [9, 37]], [[1, 3], [3, 57]], [[1, 2], [2, 13]], [[2, 13], [13, 57]], [[4, 5], [5, 53]], [[5, 53], [53, 40]], [[22, 7], [16, 22]], [[7, 8], [22, 7]], [[14, 11], [20, 14]], [[12, 11], [36, 12]], [[12, 11], [35, 12]], [[35, 12], [12, 59]], [[12, 15], [36, 12]], [[36, 12], [12, 14]], [[35, 12], [16, 35]], [[12, 15], [35, 12]], [[35, 12], [12, 14]], [[12, 15], [15, 73]], [[14, 38], [12, 14]], [[33, 13], [13, 57]], [[32, 13], [13, 57]], [[31, 13], [13, 57]], [[14, 38], [38, 51]], [[14, 38], [20, 14]], [[16, 15], [15, 73]], [[16, 35], [35, 73]], [[27, 24], [16, 27]], [[22, 18], [16, 22]], [[22, 18], [18, 69]], [[71, 59], [19, 71]], [[20, 19], [19, 71]], [[20, 68], [68, 59]], [[20, 21], [21, 29]], [[29, 30], [21, 29]], [[23, 24], [32, 23]], [[28, 24], [45, 28]], [[26, 24], [39, 26]], [[25, 24], [67, 25]], [[67, 25], [60, 67]], [[45, 28], [46, 45]], [[32, 65], [65, 66]], [[32, 60], [60, 67]], [[34, 43], [43, 57]], [[40, 41], [61, 40]], [[40, 41], [53, 40]], [[42, 41], [62, 42]], [[44, 43], [43, 57]], [[44, 43], [70, 44]], [[44, 43], [54, 44]], [[46, 45], [47, 46]], [[55, 56], [56, 57]]]"
1,"{2: [0, 1]}",156,"[(71, 95), (70, 95), (68, 95), (53, 95), (49, 95), (64, 95), (29, 95), (42, 95), (23, 95), (12, 95), (62, 95), (5, 95), (3, 95), (1, 95), (0, 95), (70, 71), (68, 71), (53, 71), (49, 71), (64, 71), (29, 71), (42, 71), (23, 71), (12, 71), (62, 71), (5, 71), (3, 71), (1, 71), (0, 71), (68, 70), (53, 70), (49, 70), (64, 70), (29, 70), (42, 70), (23, 70), (12, 70), (62, 70), (5, 70), (3, 70), (1, 70), (0, 70), (53, 68), (49, 68), (64, 68), (29, 68), (42, 68), (23, 68), (12, 68), (62, 68), (5, 68), (3, 68), (1, 68), (0, 68), (49, 53), (53, 64), (29, 53), (42, 53), (23, 53), (12, 53), (53, 62), (5, 53), (3, 53), (1, 53), (0, 53), (49, 64), (29, 49), (42, 49), (23, 49), (12, 49), (49, 62), (5, 49), (3, 49), (1, 49), (0, 49), (29, 64), (42, 64), (23, 64), (12, 64), (62, 64), (5, 64), (3, 64), (1, 64), (0, 64), (29, 42), (23, 29), (12, 29), (29, 62), (5, 29), (3, 29), (1, 29), (0, 29), (23, 42), (12, 42), (42, 62), (5, 42), (3, 42), (1, 42), (0, 42), (12, 23), (23, 62), (5, 23), (3, 23), (1, 23), (0, 23), (12, 62), (5, 12), (3, 12), (1, 12), (0, 12), (5, 62), (3, 62), (1, 62), (0, 62), (3, 5), (1, 5), (0, 5), (1, 3), (0, 3), (0, 1), (16, 66), (9, 34), (7, 87), (7, 10), (10, 87), (51, 87), (31, 57), (30, 97), (10, 51), (24, 72), (24, 65), (24, 82), (24, 99), (52, 76), (15, 52), (14, 52), (11, 36), (11, 41), (11, 77), (36, 41), (36, 77), (41, 77), (33, 92), (14, 76), (14, 15), (15, 76), (72, 99), (65, 99), (82, 99), (65, 72), (72, 82), (65, 82), (39, 89), (57, 90), (80, 86), (56, 84)]","[[[1, 64], [1, 72]], [[1, 63], [1, 72]], [[1, 61], [1, 72]], [[1, 54], [1, 72]], [[1, 52], [1, 72]], [[1, 39], [1, 72]], [[1, 34], [1, 72]], [[1, 33], [1, 72]], [[1, 31], [1, 72]], [[1, 17], [1, 72]], [[1, 10], [1, 72]], [[1, 9], [1, 72]], [[1, 6], [1, 72]], [[1, 3], [1, 72]], [[1, 2], [1, 72]], [[1, 63], [1, 64]], [[1, 61], [1, 64]], [[1, 54], [1, 64]], [[1, 52], [1, 64]], [[1, 39], [1, 64]], [[1, 34], [1, 64]], [[1, 33], [1, 64]], [[1, 31], [1, 64]], [[1, 17], [1, 64]], [[1, 10], [1, 64]], [[1, 9], [1, 64]], [[1, 6], [1, 64]], [[1, 3], [1, 64]], [[1, 2], [1, 64]], [[1, 61], [1, 63]], [[1, 54], [1, 63]], [[1, 52], [1, 63]], [[1, 39], [1, 63]], [[1, 34], [1, 63]], [[1, 33], [1, 63]], [[1, 31], [1, 63]], [[1, 17], [1, 63]], [[1, 10], [1, 63]], [[1, 9], [1, 63]], [[1, 6], [1, 63]], [[1, 3], [1, 63]], [[1, 2], [1, 63]], [[1, 54], [1, 61]], [[1, 52], [1, 61]], [[1, 39], [1, 61]], [[1, 34], [1, 61]], [[1, 33], [1, 61]], [[1, 31], [1, 61]], [[1, 17], [1, 61]], [[1, 10], [1, 61]], [[1, 9], [1, 61]], [[1, 6], [1, 61]], [[1, 3], [1, 61]], [[1, 2], [1, 61]], [[1, 52], [1, 54]], [[1, 54], [1, 39]], [[1, 34], [1, 54]], [[1, 33], [1, 54]], [[1, 31], [1, 54]], [[1, 17], [1, 54]], [[1, 54], [1, 10]], [[1, 9], [1, 54]], [[1, 6], [1, 54]], [[1, 3], [1, 54]], [[1, 2], [1, 54]], [[1, 52], [1, 39]], [[1, 34], [1, 52]], [[1, 33], [1, 52]], [[1, 31], [1, 52]], [[1, 17], [1, 52]], [[1, 52], [1, 10]], [[1, 9], [1, 52]], [[1, 6], [1, 52]], [[1, 3], [1, 52]], [[1, 2], [1, 52]], [[1, 34], [1, 39]], [[1, 33], [1, 39]], [[1, 31], [1, 39]], [[1, 17], [1, 39]], [[1, 10], [1, 39]], [[1, 9], [1, 39]], [[1, 6], [1, 39]], [[1, 3], [1, 39]], [[1, 2], [1, 39]], [[1, 34], [1, 33]], [[1, 31], [1, 34]], [[1, 17], [1, 34]], [[1, 34], [1, 10]], [[1, 9], [1, 34]], [[1, 6], [1, 34]], [[1, 3], [1, 34]], [[1, 2], [1, 34]], [[1, 31], [1, 33]], [[1, 17], [1, 33]], [[1, 33], [1, 10]], [[1, 9], [1, 33]], [[1, 6], [1, 33]], [[1, 3], [1, 33]], [[1, 2], [1, 33]], [[1, 17], [1, 31]], [[1, 31], [1, 10]], [[1, 9], [1, 31]], [[1, 6], [1, 31]], [[1, 3], [1, 31]], [[1, 2], [1, 31]], [[1, 17], [1, 10]], [[1, 9], [1, 17]], [[1, 6], [1, 17]], [[1, 3], [1, 17]], [[1, 2], [1, 17]], [[1, 9], [1, 10]], [[1, 6], [1, 10]], [[1, 3], [1, 10]], [[1, 2], [1, 10]], [[1, 6], [1, 9]], [[1, 3], [1, 9]], [[1, 2], [1, 9]], [[1, 3], [1, 6]], [[1, 2], [1, 6]], [[1, 2], [1, 3]], [[22, 7], [22, 18]], [[14, 11], [14, 38]], [[12, 11], [12, 59]], [[12, 11], [12, 15]], [[12, 15], [12, 59]], [[12, 14], [12, 59]], [[36, 12], [36, 57]], [[35, 12], [35, 73]], [[12, 15], [12, 14]], [[32, 13], [32, 65]], [[32, 13], [32, 60]], [[32, 13], [32, 59]], [[32, 13], [32, 23]], [[20, 14], [20, 68]], [[20, 21], [20, 14]], [[20, 19], [20, 14]], [[16, 15], [16, 35]], [[16, 15], [16, 27]], [[16, 15], [16, 22]], [[16, 35], [16, 27]], [[16, 35], [16, 22]], [[16, 27], [16, 22]], [[17, 37], [17, 59]], [[20, 19], [20, 68]], [[20, 19], [20, 21]], [[20, 21], [20, 68]], [[32, 65], [32, 23]], [[32, 60], [32, 23]], [[32, 59], [32, 23]], [[32, 60], [32, 65]], [[32, 65], [32, 59]], [[32, 60], [32, 59]], [[34, 43], [34, 59]], [[36, 57], [36, 59]], [[70, 44], [70, 59]], [[58, 57], [58, 59]]]"
2,"{1: [0], 2: [0]}",97,"[(27, 28), (24, 27), (25, 27), (56, 61), (55, 61), (60, 61), (57, 61), (59, 61), (32, 33), (6, 9), (6, 7), (87, 91), (81, 87), (86, 87), (85, 87), (84, 87), (87, 88), (87, 89), (82, 87), (87, 92), (30, 31), (10, 11), (51, 52), (56, 59), (55, 59), (59, 60), (57, 59), (24, 28), (25, 28), (24, 25), (97, 98), (91, 92), (81, 92), (86, 92), (85, 92), (84, 92), (88, 92), (90, 92), (89, 92), (82, 92), (17, 21), (17, 20), (17, 19), (17, 18), (20, 21), (19, 21), (18, 21), (19, 20), (18, 20), (18, 19), (82, 91), (81, 82), (82, 86), (82, 85), (82, 84), (82, 88), (82, 90), (82, 89), (89, 91), (81, 89), (86, 89), (85, 89), (84, 89), (88, 89), (89, 90), (39, 40), (90, 91), (81, 90), (86, 90), (85, 90), (84, 90), (88, 90), (56, 57), (55, 57), (57, 60), (93, 94), (37, 38), (56, 60), (55, 60), (79, 80), (46, 47), (88, 91), (81, 88), (86, 88), (85, 88), (84, 88), (55, 56), (84, 91), (81, 84), (84, 86), (84, 85), (81, 91), (86, 91), (85, 91), (81, 86), (81, 85), (85, 86)]","[[[2, 13], [33, 13]], [[32, 13], [2, 13]], [[31, 13], [2, 13]], [[58, 57], [3, 57]], [[56, 57], [3, 57]], [[43, 57], [3, 57]], [[36, 57], [3, 57]], [[13, 57], [3, 57]], [[9, 37], [17, 37]], [[10, 11], [14, 11]], [[10, 11], [12, 11]], [[12, 59], [72, 59]], [[71, 59], [12, 59]], [[70, 59], [12, 59]], [[68, 59], [12, 59]], [[58, 59], [12, 59]], [[12, 59], [52, 59]], [[12, 59], [34, 59]], [[32, 59], [12, 59]], [[12, 59], [17, 59]], [[35, 12], [36, 12]], [[12, 15], [16, 15]], [[12, 14], [20, 14]], [[58, 57], [13, 57]], [[56, 57], [13, 57]], [[13, 57], [43, 57]], [[36, 57], [13, 57]], [[32, 13], [33, 13]], [[31, 13], [33, 13]], [[32, 13], [31, 13]], [[35, 73], [15, 73]], [[72, 59], [17, 59]], [[71, 59], [17, 59]], [[70, 59], [17, 59]], [[68, 59], [17, 59]], [[58, 59], [17, 59]], [[52, 59], [17, 59]], [[36, 59], [17, 59]], [[34, 59], [17, 59]], [[32, 59], [17, 59]], [[23, 24], [28, 24]], [[23, 24], [27, 24]], [[23, 24], [26, 24]], [[23, 24], [25, 24]], [[27, 24], [28, 24]], [[26, 24], [28, 24]], [[25, 24], [28, 24]], [[26, 24], [27, 24]], [[25, 24], [27, 24]], [[25, 24], [26, 24]], [[32, 59], [72, 59]], [[71, 59], [32, 59]], [[32, 59], [70, 59]], [[32, 59], [68, 59]], [[32, 59], [58, 59]], [[32, 59], [52, 59]], [[32, 59], [36, 59]], [[32, 59], [34, 59]], [[34, 59], [72, 59]], [[71, 59], [34, 59]], [[70, 59], [34, 59]], [[68, 59], [34, 59]], [[58, 59], [34, 59]], [[52, 59], [34, 59]], [[34, 59], [36, 59]], [[34, 43], [44, 43]], [[36, 59], [72, 59]], [[71, 59], [36, 59]], [[70, 59], [36, 59]], [[68, 59], [36, 59]], [[58, 59], [36, 59]], [[52, 59], [36, 59]], [[58, 57], [36, 57]], [[56, 57], [36, 57]], [[36, 57], [43, 57]], [[53, 40], [61, 40]], [[40, 41], [42, 41]], [[58, 57], [43, 57]], [[56, 57], [43, 57]], [[54, 44], [70, 44]], [[48, 49], [50, 49]], [[52, 59], [72, 59]], [[71, 59], [52, 59]], [[70, 59], [52, 59]], [[68, 59], [52, 59]], [[58, 59], [52, 59]], [[56, 57], [58, 57]], [[58, 59], [72, 59]], [[71, 59], [58, 59]], [[58, 59], [70, 59]], [[58, 59], [68, 59]], [[71, 59], [72, 59]], [[70, 59], [72, 59]], [[68, 59], [72, 59]], [[71, 59], [70, 59]], [[71, 59], [68, 59]], [[68, 59], [70, 59]]]"
3,"{0: [1], 1: [0], 2: [0]}",9,"[(8, 26, 27), (6, 8, 26), (8, 9, 26), (8, 26, 28), (8, 24, 26), (8, 25, 26), (7, 8, 26), (13, 66, 67), (13, 14, 67)]","[[[13, 11], [11, 13], [2, 13]], [[10, 11], [13, 11], [11, 13]], [[13, 11], [14, 11], [11, 13]], [[13, 11], [11, 13], [33, 13]], [[13, 11], [32, 13], [11, 13]], [[13, 11], [31, 13], [11, 13]], [[12, 11], [13, 11], [11, 13]], [[18, 19], [22, 18], [19, 18]], [[18, 19], [20, 19], [19, 18]]]"
4,"{1: [0], 2: [0, 1]}",2,"[(7, 9, 51), (31, 87, 90)]","[[[12, 11], [14, 11], [12, 14]], [[36, 12], [12, 59], [36, 59]]]"
5,"{1: [2], 2: [0, 1]}",3,"[(8, 26, 59), (13, 67, 78), (13, 67, 96)]","[[[13, 11], [11, 13], [13, 57]], [[18, 19], [19, 18], [18, 69]], [[18, 19], [19, 18], [19, 71]]]"
