,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{1: [0], 2: [1]}",152,"[(65, 80), (64, 80), (57, 80), (32, 80), (80, 83), (29, 80), (75, 80), (63, 80), (43, 80), (10, 80), (54, 80), (0, 80), (57, 69), (30, 83), (77, 83), (20, 75), (19, 63), (18, 43), (10, 68), (5, 54), (0, 8), (8, 12), (55, 79), (35, 55), (40, 55), (41, 55), (39, 55), (28, 40), (9, 40), (1, 40), (26, 41), (25, 41), (24, 41), (9, 41), (1, 41), (9, 68), (9, 39), (3, 39), (1, 39), (1, 31), (1, 78), (31, 76), (2, 31), (21, 78), (2, 78), (2, 49), (2, 48), (2, 47), (2, 46), (49, 86), (49, 56), (42, 49), (49, 53), (48, 56), (42, 48), (48, 53), (56, 79), (35, 56), (47, 56), (46, 56), (22, 47), (42, 47), (47, 53), (18, 42), (42, 46), (6, 46), (46, 53), (5, 53), (66, 94), (66, 92), (66, 90), (66, 91), (61, 92), (86, 92), (58, 92), (82, 92), (84, 92), (3, 92), (59, 90), (86, 90), (58, 90), (82, 90), (84, 90), (3, 90), (86, 91), (26, 58), (58, 91), (64, 82), (28, 82), (25, 82), (82, 91), (17, 91), (84, 91), (3, 91), (24, 84), (22, 84), (6, 84), (4, 73), (4, 98), (4, 102), (62, 73), (5, 73), (5, 98), (88, 102), (23, 102), (5, 102), (12, 52), (13, 68), (35, 51), (11, 35), (13, 52), (13, 69), (89, 100), (14, 100), (14, 72), (14, 97), (62, 72), (16, 72), (15, 72), (16, 97), (15, 97), (16, 67), (27, 67), (50, 62), (17, 50), (17, 93), (65, 93), (21, 79), (21, 77), (99, 101), (88, 101), (23, 101), (38, 88), (23, 33), (33, 36), (45, 81), (44, 81), (27, 81), (30, 76), (76, 85), (36, 95), (65, 95), (38, 95), (37, 95), (45, 85), (62, 71), (62, 70), (70, 89), (61, 70), (96, 99), (71, 99), (65, 94)]","[[[63, 62], [62, 1]], [[35, 62], [62, 1]], [[1, 56], [62, 1]], [[1, 43], [62, 1]], [[62, 1], [1, 41]], [[1, 40], [62, 1]], [[1, 29], [62, 1]], [[1, 28], [62, 1]], [[1, 26], [62, 1]], [[1, 16], [62, 1]], [[1, 10], [62, 1]], [[1, 2], [62, 1]], [[1, 56], [56, 19]], [[41, 42], [1, 41]], [[41, 30], [1, 41]], [[29, 27], [1, 29]], [[28, 27], [1, 28]], [[26, 27], [1, 26]], [[1, 16], [16, 19]], [[10, 9], [1, 10]], [[1, 2], [2, 15]], [[2, 15], [15, 18]], [[3, 45], [45, 30]], [[45, 17], [3, 45]], [[39, 3], [3, 45]], [[34, 3], [3, 45]], [[7, 3], [3, 45]], [[35, 39], [39, 3]], [[3, 16], [39, 3]], [[3, 4], [39, 3]], [[36, 34], [34, 3]], [[35, 34], [34, 3]], [[11, 34], [34, 3]], [[3, 16], [34, 3]], [[3, 4], [34, 3]], [[3, 16], [16, 19]], [[3, 16], [7, 3]], [[6, 7], [7, 3]], [[3, 4], [7, 3]], [[3, 4], [4, 42]], [[3, 4], [4, 30]], [[4, 42], [42, 66]], [[5, 4], [4, 42]], [[30, 27], [4, 30]], [[5, 4], [4, 30]], [[5, 4], [53, 5]], [[5, 4], [52, 5]], [[5, 4], [31, 5]], [[5, 4], [12, 5]], [[53, 5], [6, 53]], [[53, 5], [5, 45]], [[5, 26], [53, 5]], [[53, 5], [5, 10]], [[52, 5], [5, 45]], [[5, 26], [52, 5]], [[52, 5], [5, 10]], [[5, 45], [45, 30]], [[45, 17], [5, 45]], [[31, 5], [5, 45]], [[12, 5], [5, 45]], [[11, 31], [31, 5]], [[5, 26], [31, 5]], [[31, 5], [5, 10]], [[26, 27], [5, 26]], [[5, 26], [12, 5]], [[11, 12], [12, 5]], [[12, 5], [5, 10]], [[10, 9], [5, 10]], [[6, 64], [64, 63]], [[6, 64], [60, 6]], [[6, 64], [57, 6]], [[6, 64], [25, 6]], [[59, 60], [60, 6]], [[6, 53], [60, 6]], [[6, 36], [60, 6]], [[6, 35], [60, 6]], [[6, 11], [60, 6]], [[6, 7], [60, 6]], [[22, 57], [57, 6]], [[6, 53], [57, 6]], [[6, 36], [57, 6]], [[6, 35], [57, 6]], [[6, 11], [57, 6]], [[6, 7], [57, 6]], [[6, 53], [25, 6]], [[36, 34], [6, 36]], [[6, 36], [25, 6]], [[35, 62], [6, 35]], [[35, 39], [6, 35]], [[35, 34], [6, 35]], [[6, 35], [25, 6]], [[24, 25], [25, 6]], [[6, 11], [25, 6]], [[6, 7], [25, 6]], [[11, 34], [6, 11]], [[11, 31], [6, 11]], [[11, 12], [6, 11]], [[8, 9], [9, 61]], [[8, 9], [9, 58]], [[8, 9], [9, 32]], [[61, 54], [9, 61]], [[10, 9], [9, 61]], [[10, 9], [9, 58]], [[32, 48], [9, 32]], [[32, 33], [9, 32]], [[10, 9], [9, 32]], [[15, 18], [18, 55]], [[19, 18], [16, 19]], [[45, 17], [17, 55]], [[17, 18], [45, 17]], [[19, 18], [18, 55]], [[19, 18], [56, 19]], [[59, 67], [67, 20]], [[20, 21], [67, 20]], [[20, 21], [21, 61]], [[20, 21], [21, 58]], [[61, 54], [21, 61]], [[23, 21], [21, 61]], [[22, 21], [21, 61]], [[23, 21], [21, 58]], [[22, 21], [21, 58]], [[23, 21], [38, 23]], [[37, 38], [38, 23]], [[54, 24], [61, 54]], [[24, 25], [54, 24]], [[24, 25], [25, 63]], [[63, 62], [25, 63]], [[30, 27], [45, 30]], [[30, 27], [41, 30]], [[68, 65], [65, 32]], [[32, 48], [65, 32]], [[32, 33], [65, 32]], [[48, 46], [32, 48]], [[32, 33], [33, 44]], [[33, 44], [44, 46]], [[51, 50], [50, 37]], [[49, 50], [50, 37]], [[37, 38], [50, 37]], [[41, 42], [42, 66]], [[42, 66], [66, 51]], [[44, 46], [46, 63]], [[63, 62], [46, 63]], [[48, 46], [46, 63]], [[47, 46], [46, 63]], [[51, 50], [66, 51]], [[61, 54], [65, 61]], [[61, 54], [54, 59]], [[54, 59], [59, 67]], [[59, 60], [54, 59]], [[65, 58], [68, 65]], [[65, 61], [68, 65]], [[63, 62], [64, 63]]]"
1,"{2: [0, 1]}",90,"[(32, 57), (57, 83), (29, 57), (57, 75), (57, 63), (43, 57), (10, 57), (54, 57), (0, 57), (32, 83), (29, 32), (32, 75), (32, 63), (32, 43), (10, 32), (32, 54), (0, 32), (29, 83), (75, 83), (63, 83), (43, 83), (10, 83), (54, 83), (0, 83), (29, 75), (29, 63), (29, 43), (10, 29), (29, 54), (0, 29), (63, 75), (43, 75), (10, 75), (54, 75), (0, 75), (43, 63), (10, 63), (54, 63), (0, 63), (10, 43), (43, 54), (0, 43), (10, 54), (0, 10), (0, 54), (9, 55), (1, 55), (1, 9), (31, 78), (2, 56), (2, 42), (2, 53), (42, 56), (53, 56), (42, 53), (66, 86), (58, 66), (66, 82), (66, 84), (3, 66), (58, 86), (82, 86), (84, 86), (3, 86), (58, 82), (58, 84), (3, 58), (82, 84), (3, 82), (91, 93), (3, 84), (73, 98), (73, 102), (98, 102), (22, 24), (6, 24), (6, 22), (35, 79), (72, 97), (15, 59), (50, 70), (30, 77), (71, 101), (96, 101), (23, 88), (25, 64), (25, 28), (28, 64), (71, 96), (61, 89)]","[[[1, 43], [1, 56]], [[1, 56], [1, 41]], [[1, 40], [1, 56]], [[1, 56], [1, 29]], [[1, 56], [1, 28]], [[1, 26], [1, 56]], [[1, 16], [1, 56]], [[1, 10], [1, 56]], [[1, 2], [1, 56]], [[1, 43], [1, 41]], [[1, 40], [1, 43]], [[1, 43], [1, 29]], [[1, 43], [1, 28]], [[1, 43], [1, 26]], [[1, 16], [1, 43]], [[1, 43], [1, 10]], [[1, 2], [1, 43]], [[1, 40], [1, 41]], [[1, 29], [1, 41]], [[1, 28], [1, 41]], [[1, 26], [1, 41]], [[1, 16], [1, 41]], [[1, 10], [1, 41]], [[1, 2], [1, 41]], [[1, 40], [1, 29]], [[1, 40], [1, 28]], [[1, 40], [1, 26]], [[1, 16], [1, 40]], [[1, 40], [1, 10]], [[1, 2], [1, 40]], [[1, 28], [1, 29]], [[1, 26], [1, 29]], [[1, 16], [1, 29]], [[1, 10], [1, 29]], [[1, 2], [1, 29]], [[1, 26], [1, 28]], [[1, 16], [1, 28]], [[1, 10], [1, 28]], [[1, 2], [1, 28]], [[1, 16], [1, 26]], [[1, 26], [1, 10]], [[1, 2], [1, 26]], [[1, 16], [1, 10]], [[1, 2], [1, 16]], [[1, 2], [1, 10]], [[3, 16], [3, 45]], [[3, 4], [3, 45]], [[3, 4], [3, 16]], [[4, 42], [4, 30]], [[5, 4], [5, 45]], [[5, 4], [5, 26]], [[5, 4], [5, 10]], [[5, 26], [5, 45]], [[5, 10], [5, 45]], [[5, 26], [5, 10]], [[6, 64], [6, 53]], [[6, 36], [6, 64]], [[6, 64], [6, 35]], [[6, 64], [6, 11]], [[6, 7], [6, 64]], [[6, 36], [6, 53]], [[6, 35], [6, 53]], [[6, 11], [6, 53]], [[6, 7], [6, 53]], [[6, 36], [6, 35]], [[6, 36], [6, 11]], [[6, 7], [6, 36]], [[6, 35], [6, 11]], [[6, 7], [6, 35]], [[25, 6], [25, 63]], [[6, 7], [6, 11]], [[9, 61], [9, 58]], [[9, 61], [9, 32]], [[9, 58], [9, 32]], [[11, 31], [11, 34]], [[11, 12], [11, 34]], [[11, 12], [11, 31]], [[45, 17], [45, 30]], [[21, 61], [21, 58]], [[22, 21], [22, 57]], [[54, 24], [54, 59]], [[41, 42], [41, 30]], [[65, 61], [65, 32]], [[65, 58], [65, 32]], [[32, 33], [32, 48]], [[35, 34], [35, 62]], [[35, 34], [35, 39]], [[35, 39], [35, 62]], [[65, 61], [65, 58]], [[59, 60], [59, 67]]]"
2,"{1: [0], 2: [0]}",53,"[(42, 43), (9, 10), (53, 54), (55, 56), (40, 41), (39, 40), (39, 41), (1, 2), (30, 31), (78, 79), (77, 78), (48, 49), (47, 49), (46, 49), (47, 48), (46, 48), (46, 47), (90, 92), (91, 92), (90, 91), (4, 5), (71, 73), (72, 73), (96, 98), (97, 98), (101, 102), (24, 26), (24, 25), (12, 13), (11, 12), (68, 69), (11, 13), (14, 16), (14, 15), (71, 72), (96, 97), (15, 16), (93, 94), (93, 95), (18, 21), (18, 20), (18, 19), (20, 21), (19, 21), (19, 20), (77, 79), (25, 26), (64, 65), (36, 38), (36, 37), (94, 95), (37, 38), (44, 45)]","[[[5, 26], [1, 26]], [[3, 16], [1, 16]], [[5, 10], [1, 10]], [[3, 45], [5, 45]], [[39, 3], [34, 3]], [[7, 3], [39, 3]], [[7, 3], [34, 3]], [[3, 4], [5, 4]], [[41, 42], [4, 42]], [[4, 30], [45, 30]], [[41, 30], [4, 30]], [[52, 5], [53, 5]], [[31, 5], [53, 5]], [[12, 5], [53, 5]], [[31, 5], [52, 5]], [[12, 5], [52, 5]], [[12, 5], [31, 5]], [[57, 6], [60, 6]], [[25, 6], [60, 6]], [[57, 6], [25, 6]], [[8, 9], [10, 9]], [[65, 61], [9, 61]], [[21, 61], [9, 61]], [[65, 58], [9, 58]], [[21, 58], [9, 58]], [[65, 32], [9, 32]], [[11, 34], [36, 34]], [[11, 34], [35, 34]], [[15, 18], [19, 18]], [[17, 18], [15, 18]], [[16, 19], [56, 19]], [[17, 18], [19, 18]], [[20, 21], [23, 21]], [[20, 21], [22, 21]], [[65, 61], [21, 61]], [[65, 58], [21, 58]], [[22, 21], [23, 21]], [[25, 63], [64, 63]], [[25, 63], [46, 63]], [[26, 27], [30, 27]], [[26, 27], [29, 27]], [[26, 27], [28, 27]], [[29, 27], [30, 27]], [[28, 27], [30, 27]], [[28, 27], [29, 27]], [[41, 30], [45, 30]], [[35, 34], [36, 34]], [[35, 62], [63, 62]], [[44, 46], [48, 46]], [[44, 46], [47, 46]], [[64, 63], [46, 63]], [[47, 46], [48, 46]], [[49, 50], [51, 50]]]"
3,"{1: [0], 2: [0, 1]}",1,"[(11, 51, 52)]","[[[17, 18], [17, 55], [18, 55]]]"
