,Motif,Number of appearances in network,Edges indices,Location of appearances in network
0,"{1: [2], 2: [0, 1]}",1,"[(8, 5, 11, 13)]","[[[1, 4], [5, 1], [1, 5], [5, 5]]]"
1,"{1: [0, 2], 2: [0, 1]}",1,"[(5, 7, 11, 13, 6)]","[[[5, 1], [5, 3], [1, 5], [5, 5], [1, 3]]]"
2,"{0: [1, 2], 1: [0, 2], 2: [0, 1]}",1,"[(0, 3, 4, 12, 5, 11, 13)]","[[[1, 2], [5, 2], [2, 1], [2, 5], [5, 1], [1, 5], [5, 5]]]"
3,"{1: [0], 2: [0, 1]}",1,"[(8, 9, 6)]","[[[1, 4], [3, 4], [1, 3]]]"
4,"{0: [1], 1: [0, 2], 2: [0, 1]}",1,"[(2, 8, 10, 0, 4)]","[[[4, 2], [1, 4], [2, 4], [1, 2], [2, 1]]]"
5,"{0: [1], 1: [2], 2: [0, 1]}",2,"[(0, 1, 4, 6), (1, 3, 12, 7, 13)]","[[[1, 2], [3, 2], [2, 1], [1, 3]], [[3, 2], [5, 2], [2, 5], [5, 3], [5, 5]]]"
6,"{0: [2], 1: [2], 2: [0, 1]}",1,"[(2, 10, 3, 12, 13)]","[[[4, 2], [2, 4], [5, 2], [2, 5], [5, 5]]]"
7,"{0: [1], 1: [0], 2: [0, 1]}",1,"[(2, 9, 10, 1)]","[[[4, 2], [3, 4], [2, 4], [3, 2]]]"
8,"{1: [0], 2: [1]}",1,"[(9, 7, 13)]","[[[3, 4], [5, 3], [5, 5]]]"
